date,symbol,rank,score_quote_vol,in_universe
2021-04-04,LINK-USDT,10,8775320220,1
2021-04-04,FIL-USDT,11,8441597197,1
2021-04-04,AAVE-USDT,12,6282988290,1
2021-04-04,THETA-USDT,13,6043003897,1
2021-04-04,XRP-USDT,14,6012879819,1
2021-04-04,GRT-USDT,15,5391630909,1
2021-04-04,ATOM-USDT,16,4552040139,1
2021-04-04,AVAX-USDT,17,4513956889,1
2021-04-04,CRV-USDT,18,4093894516,1
2021-04-04,EGLD-USDT,19,4067304997,1
2021-04-04,ETC-USDT,20,4055117926,1
2021-04-04,NEO-USDT,21,3580923770,1
2021-04-04,ALGO-USDT,22,3368328841,1
2021-04-04,MANA-USDT,23,3165280666,1
2021-04-04,SOL-USDT,24,2873225696,1
2021-04-04,TRX-USDT,25,2808334550,1
2021-04-04,KSM-USDT,26,2668274856,1
2021-04-04,XTZ-USDT,27,2665467523,1
2021-04-04,IOTA-USDT,28,2590733556,1
2021-04-04,HBAR-USDT,29,2470060615,1
2021-04-04,ZIL-USDT,30,2301217348,1
2021-04-04,QTUM-USDT,31,2005569682,0
2021-04-04,SNX-USDT,32,1882634368,0
2021-04-04,NEAR-USDT,33,1733631501,0
2021-04-04,ADA-USDT,34,1529753045,0
2021-04-04,COMP-USDT,35,1282599553,0
2021-04-05,BTC-USDT,1,69834248287,1
2021-04-05,ETH-USDT,2,25866530662,1
2021-04-05,DOGE-USDT,3,16365207530,1
2021-04-05,DOT-USDT,4,15439925594,1
2021-04-05,OKB-USDT,5,14995925135,1
2021-04-05,BCH-USDT,6,14421853082,1
2021-04-05,LTC-USDT,7,11712164385,1
2021-04-05,UNI-USDT,8,11133061864,1
2021-04-05,XLM-USDT,9,9177047520,1
2021-04-05,LINK-USDT,10,8781493836,1
2021-04-05,FIL-USDT,11,8640379868,1
2021-04-05,XRP-USDT,12,6337469485,1
2021-04-05,AAVE-USDT,13,6269840794,1
2021-04-05,THETA-USDT,14,6063461271,1
2021-04-05,GRT-USDT,15,5410207535,1
2021-04-05,AVAX-USDT,16,4585227614,1
2021-04-05,ATOM-USDT,17,4581617111,1
2021-04-05,CRV-USDT,18,4133386312,1
2021-04-05,ETC-USDT,19,4076234253,1
2021-04-05,EGLD-USDT,20,4071948526,1
2021-04-05,NEO-USDT,21,3629054780,1
2021-04-05,ALGO-USDT,22,3375847222,1
2021-04-05,MANA-USDT,23,3198891672,1
2021-04-05,TRX-USDT,24,2971535536,1
2021-04-05,SOL-USDT,25,2916350658,1
2021-04-05,XTZ-USDT,26,2735080823,1
2021-04-05,KSM-USDT,27,2705319361,1
2021-04-05,IOTA-USDT,28,2617111305,1
2021-04-05,HBAR-USDT,29,2493805727,1
2021-04-05,ZIL-USDT,30,2326871042,1
2021-04-05,QTUM-USDT,31,2045374959,0
2021-04-05,SNX-USDT,32,1865896249,0
2021-04-05,NEAR-USDT,33,1743630796,0
2021-04-05,ADA-USDT,34,1534127017,0
2021-04-05,COMP-USDT,35,1295270802,0
2021-04-06,BTC-USDT,1,69401041090,1
2021-04-06,ETH-USDT,2,25607018795,1
2021-04-06,DOGE-USDT,3,16515520496,1
2021-04-06,DOT-USDT,4,15485384439,1
2021-04-06,OKB-USDT,5,15085291189,1
2021-04-06,BCH-USDT,6,14470255502,1
2021-04-06,LTC-USDT,7,11849972132,1
2021-04-06,UNI-USDT,8,11159522219,1
2021-04-06,XLM-USDT,9,8912635424,1
2021-04-06,FIL-USDT,10,8801087629,1
2021-04-06,LINK-USDT,11,8796711818,1
2021-04-06,XRP-USDT,12,6872710407,1
2021-04-06,AAVE-USDT,13,6300372223,1
2021-04-06,THETA-USDT,14,6113460315,1
2021-04-06,GRT-USDT,15,5406998344,1
2021-04-06,AVAX-USDT,16,4650475181,1
2021-04-06,ATOM-USDT,17,4626790798,1
2021-04-06,ETC-USDT,18,4161671801,1
