pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason
AVAX-USDT,2021-09-16,2021-09-20,0.101,0.0123,19,bear,,stop
ATOM-USDT,2021-09-18,2021-09-20,0.247,0.0292,9,range,,regime
SOL-USDT,2021-09-27,2021-09-27,-0.171,-0.0174,1,bear,,regime
SHIB-USDT,2021-09-30,2021-10-01,1.007,0.0483,6,bear,,signal
BTC-USDT,2021-10-01,2021-10-04,0.254,0.0123,15,range,,time
LINK-USDT,2021-10-01,2021-10-04,0.086,0.0060,16,range,,stop
SOL-USDT,2021-10-01,2021-10-04,0.491,0.0389,17,range,,stop
SHIB-USDT,2021-10-03,2021-10-14,28.787,1.6732,68,range,,stop
CRV-USDT,2021-10-03,2021-10-04,0.457,0.0345,3,range,,signal
SAND-USDT,2021-10-04,2021-10-04,-1.054,-0.0796,3,range,,stop
MANA-USDT,2021-10-04,2021-10-05,-0.640,-0.0423,3,range,,signal
CRV-USDT,2021-10-05,2021-10-06,-1.046,-0.0944,7,range,,stop
DOGE-USDT,2021-10-05,2021-10-07,-1.037,-0.0781,8,range,,stop
BCH-USDT,2021-10-06,2021-10-09,-0.518,-0.0303,15,bull,,time
BTC-USDT,2021-10-06,2021-10-09,-0.238,-0.0104,15,bull,,time
XLM-USDT,2021-10-07,2021-10-08,-1.070,-0.0654,6,bull,,stop
DOT-USDT,2021-10-07,2021-10-09,-0.704,-0.0484,9,bull,,signal
FIL-USDT,2021-10-08,2021-10-10,-1.055,-0.0732,14,bull,,stop
CRV-USDT,2021-10-09,2021-10-10,-1.058,-0.0775,4,bull,,stop
XRP-USDT,2021-10-10,2021-10-10,-1.055,-0.0578,3,bull,,stop
BTC-USDT,2021-10-10,2021-10-12,-0.241,-0.0088,15,bull,,time
XLM-USDT,2021-10-13,2021-10-16,-0.090,-0.0061,15,bull,,time
CRV-USDT,2021-10-14,2021-10-15,-0.887,-0.0673,5,bull,,signal
BTC-USDT,2021-10-14,2021-10-17,0.756,0.0334,22,bull,,stop
ETH-USDT,2021-10-14,2021-10-17,0.323,0.0145,18,bull,,stop
BCH-USDT,2021-10-15,2021-10-17,-0.195,-0.0092,11,bull,,signal
DOT-USDT,2021-10-15,2021-10-17,-1.041,-0.0863,12,bull,,stop
GRT-USDT,2021-10-16,2021-10-18,-0.785,-0.0652,15,bull,,time
XLM-USDT,2021-10-16,2021-10-17,-1.063,-0.0728,5,bull,,stop
TRX-USDT,2021-10-17,2021-10-17,-1.075,-0.0423,1,bull,,stop
SHIB-USDT,2021-10-18,2021-10-19,0.120,0.0136,8,bull,,signal
BTC-USDT,2021-10-19,2021-10-21,0.284,0.0118,14,bull,,stop
GRT-USDT,2021-10-20,2021-10-22,2.097,0.1364,13,bull,,regime
LTC-USDT,2021-10-20,2021-10-22,-1.079,-0.0549,11,bull,,stop
DOT-USDT,2021-10-20,2021-10-22,0.103,0.0058,12,bull,,regime
ETH-USDT,2021-10-20,2021-10-22,-0.707,-0.0306,12,bull,,regime
SOL-USDT,2021-10-21,2021-10-22,3.038,0.1617,10,bull,,regime
NEAR-USDT,2021-10-21,2021-10-22,-0.642,-0.0412,6,bull,,regime
GRT-USDT,2021-10-25,2021-10-26,0.030,0.0024,5,bull,,regime
SOL-USDT,2021-10-25,2021-10-26,-0.604,-0.0455,4,bull,,regime
DOT-USDT,2021-11-01,2021-11-02,0.239,0.0144,1,bull,,regime
SOL-USDT,2021-11-03,2021-11-04,0.525,0.0357,9,bull,,regime
DOT-USDT,2021-11-03,2021-11-04,-0.150,-0.0113,6,bull,,regime
AVAX-USDT,2021-11-04,2021-11-04,-0.837,-0.0525,3,bull,,regime
AVAX-USDT,2021-11-07,2021-11-10,0.352,0.0240,20,bull,,stop
GRT-USDT,2021-11-09,2021-11-10,-1.046,-0.0788,9,bull,,stop
LTC-USDT,2021-11-09,2021-11-12,1.460,0.0793,18,bull,,regime
BCH-USDT,2021-11-10,2021-11-10,-1.087,-0.0453,0,bull,,stop
LINK-USDT,2021-11-10,2021-11-10,-1.052,-0.0591,0,bull,,stop
NEAR-USDT,2021-11-11,2021-11-12,-0.802,-0.0740,6,bull,,regime
ALGO-USDT,2021-11-12,2021-11-12,-0.336,-0.0308,2,bull,,regime
AVAX-USDT,2021-11-13,2021-11-13,0.491,0.0369,1,bull,,regime
ETH-USDT,2021-11-30,2021-12-02,-0.502,-0.0245,10,bear,,regime
CRV-USDT,2021-12-01,2021-12-02,-0.655,-0.0747,6,bear,,regime
ALGO-USDT,2021-12-01,2021-12-02,-0.758,-0.0514,4,bear,,regime
XLM-USDT,2021-12-03,2021-12-03,-0.635,-0.0349,2,bear,,regime
CRV-USDT,2021-12-16,2021-12-16,-0.622,-0.0550,1,bear,,regime
GRT-USDT,2021-12-21,2021-12-24,0.526,0.0391,15,bear,,time
CRV-USDT,2021-12-22,2021-12-27,1.305,0.1114,33,bear,,stop
AAVE-USDT,2021-12-22,2021-12-28,5.389,0.3165,35,bear,,regime
ATOM-USDT,2021-12-22,2021-12-28,1.947,0.1278,32,bear,,stop
XRP-USDT,2021-12-23,2021-12-24,-1.044,-0.0685,8,bear,,stop
SAND-USDT,2021-12-25,2021-12-27,0.395,0.0319,15,bear,,time
UNI-USDT,2021-12-27,2021-12-28,-1.072,-0.0579,3,range,,stop
UNI-USDT,2022-01-12,2022-01-13,-0.265,-0.0165,2,bear,2022-H1,signal
XLM-USDT,2022-01-12,2022-01-14,-1.084,-0.0556,10,bear,2022-H1,stop
DOGE-USDT,2022-01-13,2022-01-14,2.007,0.1409,7,bear,2022-H1,regime
NEAR-USDT,2022-01-13,2022-01-14,-0.396,-0.0355,5,bear,2022-H1,regime
LTC-USDT,2022-01-14,2022-01-17,0.292,0.0151,15,bear,2022-H1,time
ADA-USDT,2022-01-16,2022-01-17,2.514,0.1438,7,bear,2022-H1,regime
UNI-USDT,2022-01-16,2022-01-17,-1.074,-0.0550,2,bear,2022-H1,stop
TRX-USDT,2022-01-29,2022-01-31,0.145,0.0065,11,bear,2022-H1,stop
LINK-USDT,2022-01-31,2022-02-01,-0.688,-0.0551,11,bear,2022-H1,signal
MANA-USDT,2022-01-31,2022-02-02,0.182,0.0172,14,bear,2022-H1,stop
BTC-USDT,2022-01-31,2022-02-01,-0.059,-0.0025,3,bear,2022-H1,signal
ETH-USDT,2022-01-31,2022-02-02,-0.102,-0.0061,11,bear,2022-H1,regime
SOL-USDT,2022-02-01,2022-02-02,-0.364,-0.0281,6,bear,2022-H1,regime
ETC-USDT,2022-02-02,2022-02-02,-0.674,-0.0355,3,bear,2022-H1,regime
ETH-USDT,2022-02-04,2022-02-08,2.077,0.1189,23,bear,2022-H1,signal
ETC-USDT,2022-02-04,2022-02-11,2.675,0.1718,43,bear,2022-H1,stop
MANA-USDT,2022-02-05,2022-02-08,0.908,0.0746,19,range,2022-H1,stop
SAND-USDT,2022-02-05,2022-02-08,0.754,0.0569,19,range,2022-H1,stop
AVAX-USDT,2022-02-08,2022-02-08,-1.040,-0.0717,1,range,2022-H1,stop
AVAX-USDT,2022-02-10,2022-02-11,-1.037,-0.0732,6,bull,2022-H1,stop
MANA-USDT,2022-02-15,2022-02-16,0.010,0.0007,5,bull,2022-H1,signal
AVAX-USDT,2022-02-16,2022-02-17,-0.214,-0.0142,8,bull,2022-H1,regime
GRT-USDT,2022-02-16,2022-02-17,-1.056,-0.0806,2,bull,2022-H1,stop
SHIB-USDT,2022-02-17,2022-02-17,-0.494,-0.0365,1,bull,2022-H1,regime
FIL-USDT,2022-02-27,2022-02-27,-0.454,-0.0335,1,bear,2022-H1,regime
BCH-USDT,2022-02-28,2022-03-03,-0.616,-0.0386,15,range,2022-H1,time
FIL-USDT,2022-02-28,2022-03-03,-0.636,-0.0485,15,range,2022-H1,time
BTC-USDT,2022-02-28,2022-03-03,0.980,0.0555,15,range,2022-H1,stop
SOL-USDT,2022-02-28,2022-03-03,0.106,0.0093,17,range,2022-H1,stop
DOT-USDT,2022-03-01,2022-03-03,-0.407,-0.0354,15,range,2022-H1,time
ATOM-USDT,2022-03-01,2022-03-03,-0.131,-0.0121,15,range,2022-H1,time
ETC-USDT,2022-03-03,2022-03-04,-1.051,-0.0756,3,range,2022-H1,stop
ATOM-USDT,2022-03-03,2022-03-04,-0.288,-0.0256,5,range,2022-H1,regime
UNI-USDT,2022-03-09,2022-03-09,-0.503,-0.0358,2,range,2022-H1,signal
BTC-USDT,2022-03-09,2022-03-10,-1.049,-0.0547,6,range,2022-H1,stop
NEAR-USDT,2022-03-09,2022-03-10,-0.464,-0.0382,6,range,2022-H1,regime
DOT-USDT,2022-03-11,2022-03-11,-0.368,-0.0209,1,bear,2022-H1,regime
LTC-USDT,2022-03-15,2022-03-16,-0.363,-0.0164,1,bear,2022-H1,regime
BTC-USDT,2022-03-16,2022-03-17,0.094,0.0044,7,range,2022-H1,signal
AAVE-USDT,2022-03-16,2022-03-20,3.316,0.1899,22,range,2022-H1,stop
DOT-USDT,2022-03-16,2022-03-19,0.285,0.0149,15,range,2022-H1,time
SAND-USDT,2022-03-16,2022-03-19,0.222,0.0134,15,range,2022-H1,time
AVAX-USDT,2022-03-18,2022-03-20,0.748,0.0496,12,range,2022-H1,stop
LINK-USDT,2022-03-18,2022-03-21,-1.056,-0.0530,14,range,2022-H1,stop
ETH-USDT,2022-03-18,2022-03-21,-0.523,-0.0206,15,range,2022-H1,time
DOT-USDT,2022-03-19,2022-03-20,-1.064,-0.0466,4,range,2022-H1,stop
ETC-USDT,2022-03-19,2022-03-24,6.453,0.3091,29,range,2022-H1,stop
ALGO-USDT,2022-03-22,2022-03-24,0.726,0.0349,15,bull,2022-H1,time
BCH-USDT,2022-03-22,2022-03-24,0.224,0.0108,11,bull,2022-H1,stop
ADA-USDT,2022-03-22,2022-03-25,2.484,0.1207,18,bull,2022-H1,stop
AAVE-USDT,2022-03-24,2022-03-27,-0.472,-0.0301,15,bull,2022-H1,time
ALGO-USDT,2022-03-25,2022-03-27,0.028,0.0015,15,bull,2022-H1,time
NEAR-USDT,2022-03-26,2022-03-28,-0.152,-0.0110,15,bull,2022-H1,time
FIL-USDT,2022-03-27,2022-03-31,2.456,0.1287,22,bull,2022-H1,stop
DOGE-USDT,2022-03-28,2022-03-30,-1.049,-0.0605,11,bull,2022-H1,stop
SHIB-USDT,2022-03-28,2022-03-28,-1.065,-0.0635,1,bull,2022-H1,stop
ADA-USDT,2022-03-28,2022-03-31,-0.362,-0.0191,15,bull,2022-H1,time
ETC-USDT,2022-03-29,2022-03-29,-1.043,-0.0850,0,bull,2022-H1,stop
CRV-USDT,2022-03-29,2022-03-31,-1.056,-0.0733,11,bull,2022-H1,stop
NEAR-USDT,2022-03-30,2022-03-31,-1.048,-0.0722,9,bull,2022-H1,stop
SOL-USDT,2022-03-30,2022-04-01,-0.020,-0.0015,8,bull,2022-H1,regime
AAVE-USDT,2022-04-01,2022-04-02,-0.162,-0.0161,7,bull,2022-H1,regime
SOL-USDT,2022-04-01,2022-04-02,0.260,0.0208,7,bull,2022-H1,regime
GRT-USDT,2022-04-02,2022-04-02,-0.575,-0.0545,3,bull,2022-H1,regime
NEAR-USDT,2022-04-02,2022-04-02,-0.873,-0.0676,2,bull,2022-H1,regime
CRV-USDT,2022-04-03,2022-04-03,-0.216,-0.0150,1,bull,2022-H1,regime
FIL-USDT,2022-04-05,2022-04-05,-0.313,-0.0252,3,bull,2022-H1,regime
NEAR-USDT,2022-04-19,2022-04-21,-1.054,-0.0748,13,bear,2022-H1,stop
SAND-USDT,2022-04-20,2022-04-20,-1.064,-0.0665,3,bear,2022-H1,stop
AAVE-USDT,2022-04-20,2022-04-21,-1.057,-0.0665,8,bear,2022-H1,stop
TRX-USDT,2022-04-21,2022-04-22,-0.239,-0.0108,2,bear,2022-H1,regime
GRT-USDT,2022-04-26,2022-04-26,0.691,0.0440,3,bear,2022-H1,regime
BTC-USDT,2022-05-04,2022-05-05,-1.086,-0.0323,6,bear,2022-H1,stop
ETH-USDT,2022-05-04,2022-05-05,-1.072,-0.0383,6,bear,2022-H1,stop
TRX-USDT,2022-05-04,2022-05-05,-0.420,-0.0338,7,bear,2022-H1,regime
AAVE-USDT,2022-05-23,2022-05-23,0.028,0.0024,3,bear,2022-H1,regime
UNI-USDT,2022-05-23,2022-05-23,-0.888,-0.0609,3,bear,2022-H1,regime
ETC-USDT,2022-05-23,2022-05-23,-0.941,-0.0558,2,bear,2022-H1,regime
ETC-USDT,2022-05-25,2022-05-25,-0.624,-0.0530,1,bear,2022-H1,regime
SAND-USDT,2022-05-26,2022-05-26,-1.038,-0.0959,1,bear,2022-H1,stop
ETC-USDT,2022-05-30,2022-06-01,-1.003,-0.0608,15,bear,2022-H1,time
XLM-USDT,2022-05-30,2022-06-01,-0.076,-0.0039,14,bear,2022-H1,stop
AAVE-USDT,2022-05-30,2022-06-01,0.419,0.0318,12,bear,2022-H1,stop
SAND-USDT,2022-05-31,2022-05-31,-1.046,-0.0796,2,bear,2022-H1,stop
CRV-USDT,2022-05-31,2022-06-01,-1.052,-0.0839,5,bear,2022-H1,stop
TRX-USDT,2022-06-01,2022-06-01,-1.059,-0.0601,2,bear,2022-H1,stop
ADA-USDT,2022-06-06,2022-06-07,-1.051,-0.0709,5,range,2022-H1,stop
AVAX-USDT,2022-06-06,2022-06-07,-1.032,-0.0802,5,range,2022-H1,stop
LINK-USDT,2022-06-06,2022-06-07,-1.058,-0.0603,5,range,2022-H1,stop
LINK-USDT,2022-06-07,2022-06-08,-0.137,-0.0101,2,range,2022-H1,regime
ADA-USDT,2022-06-08,2022-06-08,-0.348,-0.0288,1,range,2022-H1,regime
LINK-USDT,2022-06-09,2022-06-09,-0.440,-0.0359,1,range,2022-H1,regime
UNI-USDT,2022-06-21,2022-06-21,-0.142,-0.0143,1,bear,2022-H1,regime
MANA-USDT,2022-06-21,2022-06-22,-0.513,-0.0448,2,bear,2022-H1,regime
UNI-USDT,2022-06-23,2022-06-23,-0.215,-0.0225,1,bear,2022-H1,regime
ATOM-USDT,2022-06-24,2022-06-26,0.269,0.0231,15,bear,2022-H1,time
DOGE-USDT,2022-06-26,2022-06-27,-0.539,-0.0370,6,bear,2022-H1,regime
SAND-USDT,2022-07-05,2022-07-05,-0.897,-0.0689,3,bear,2022-H2,regime
TRX-USDT,2022-07-05,2022-07-05,-0.761,-0.0276,2,bear,2022-H2,regime
ATOM-USDT,2022-07-05,2022-07-05,-0.680,-0.0481,1,bear,2022-H2,regime
ATOM-USDT,2022-07-06,2022-07-08,-0.052,-0.0041,15,bear,2022-H2,time
SAND-USDT,2022-07-06,2022-07-08,-0.378,-0.0296,15,bear,2022-H2,time
CRV-USDT,2022-07-06,2022-07-09,0.356,0.0338,15,bear,2022-H2,time
AAVE-USDT,2022-07-07,2022-07-11,1.569,0.1032,22,bear,2022-H2,regime
UNI-USDT,2022-07-09,2022-07-11,-0.126,-0.0082,12,bear,2022-H2,stop
SHIB-USDT,2022-07-09,2022-07-10,-1.063,-0.0654,5,bear,2022-H2,stop
ETH-USDT,2022-07-16,2022-07-20,2.038,0.1477,24,bull,2022-H2,stop
AVAX-USDT,2022-07-16,2022-07-21,1.906,0.1379,25,bull,2022-H2,stop
ETC-USDT,2022-07-17,2022-07-20,5.445,0.3072,23,bull,2022-H2,stop
CRV-USDT,2022-07-18,2022-07-20,-1.044,-0.0818,13,bull,2022-H2,stop
AAVE-USDT,2022-07-19,2022-07-20,-1.041,-0.0999,8,bull,2022-H2,stop
CRV-USDT,2022-07-21,2022-07-23,0.181,0.0175,11,bull,2022-H2,regime
ETC-USDT,2022-07-23,2022-07-23,-0.259,-0.0277,2,bull,2022-H2,regime
BCH-USDT,2022-07-25,2022-07-25,-0.636,-0.0420,1,bull,2022-H2,regime
BCH-USDT,2022-07-28,2022-07-30,1.562,0.1005,16,bull,2022-H2,stop
ATOM-USDT,2022-07-28,2022-07-31,-0.132,-0.0114,15,bull,2022-H2,time
ETH-USDT,2022-07-28,2022-07-31,-0.297,-0.0226,15,bull,2022-H2,time
DOT-USDT,2022-07-31,2022-08-01,-1.041,-0.0728,4,bull,2022-H2,stop
UNI-USDT,2022-08-03,2022-08-04,-0.420,-0.0370,3,bull,2022-H2,regime
NEAR-USDT,2022-08-05,2022-08-05,0.225,0.0168,1,bull,2022-H2,regime
LINK-USDT,2022-08-08,2022-08-09,0.390,0.0185,9,bull,2022-H2,regime
AVAX-USDT,2022-08-08,2022-08-08,-1.046,-0.0592,2,bull,2022-H2,stop
DOT-USDT,2022-08-08,2022-08-09,-1.059,-0.0564,5,bull,2022-H2,stop
NEAR-USDT,2022-08-08,2022-08-09,-1.053,-0.0702,5,bull,2022-H2,stop
XLM-USDT,2022-08-08,2022-08-09,-1.101,-0.0404,4,bull,2022-H2,stop
ATOM-USDT,2022-08-10,2022-08-13,0.302,0.0202,15,bull,2022-H2,time
DOT-USDT,2022-08-10,2022-08-13,0.022,0.0014,15,bull,2022-H2,time
LINK-USDT,2022-08-10,2022-08-13,0.175,0.0114,15,bull,2022-H2,time
NEAR-USDT,2022-08-10,2022-08-13,0.238,0.0191,15,bull,2022-H2,time
ETC-USDT,2022-08-11,2022-08-14,0.066,0.0046,15,bull,2022-H2,time
SHIB-USDT,2022-08-14,2022-08-16,2.097,0.1086,13,bull,2022-H2,regime
AAVE-USDT,2022-09-02,2022-09-02,-1.071,-0.0617,0,bear,2022-H2,stop
ADA-USDT,2022-09-02,2022-09-02,-0.807,-0.0340,1,bear,2022-H2,regime
LTC-USDT,2022-09-02,2022-09-02,-0.185,-0.0110,1,bear,2022-H2,regime
LINK-USDT,2022-09-09,2022-09-11,0.181,0.0097,15,bear,2022-H2,time
LTC-USDT,2022-09-09,2022-09-12,0.465,0.0241,16,bear,2022-H2,signal
BCH-USDT,2022-09-09,2022-09-11,-1.063,-0.0591,14,bear,2022-H2,stop
OP-USDT,2022-09-11,2022-09-12,-1.046,-0.0963,5,range,2022-H2,stop
FIL-USDT,2022-09-11,2022-09-13,-0.586,-0.0358,10,range,2022-H2,signal
NEAR-USDT,2022-09-11,2022-09-13,-0.818,-0.0450,10,range,2022-H2,stop
SOL-USDT,2022-09-12,2022-09-13,-1.058,-0.0580,6,range,2022-H2,stop
GRT-USDT,2022-09-12,2022-09-13,-1.070,-0.0716,4,range,2022-H2,stop
SOL-USDT,2022-09-27,2022-09-27,-1.054,-0.0566,3,range,2022-H2,stop
UNI-USDT,2022-09-27,2022-09-27,-0.014,-0.0008,4,range,2022-H2,regime
XRP-USDT,2022-09-30,2022-10-02,-0.672,-0.0575,15,bear,2022-H2,time
SHIB-USDT,2022-10-01,2022-10-02,-1.067,-0.0485,8,bear,2022-H2,stop
XLM-USDT,2022-10-01,2022-10-02,-0.285,-0.0143,5,bear,2022-H2,regime
UNI-USDT,2022-10-04,2022-10-06,0.646,0.0348,15,bear,2022-H2,time
BTC-USDT,2022-10-04,2022-10-06,-0.014,-0.0004,15,range,2022-H2,time
ETH-USDT,2022-10-04,2022-10-06,0.117,0.0040,15,range,2022-H2,time
AAVE-USDT,2022-10-04,2022-10-05,-1.109,-0.0423,5,range,2022-H2,stop
SOL-USDT,2022-10-04,2022-10-06,-0.494,-0.0188,13,range,2022-H2,signal
DOGE-USDT,2022-10-05,2022-10-05,-1.078,-0.0408,3,range,2022-H2,stop
TRX-USDT,2022-10-07,2022-10-07,-0.511,-0.0097,4,range,2022-H2,regime
ETH-USDT,2022-10-14,2022-10-14,-0.414,-0.0173,3,range,2022-H2,regime
ETH-USDT,2022-10-17,2022-10-18,-1.089,-0.0314,6,range,2022-H2,stop
AAVE-USDT,2022-10-17,2022-10-18,1.041,0.0391,7,range,2022-H2,regime
CRV-USDT,2022-10-17,2022-10-18,0.225,0.0106,7,range,2022-H2,regime
BTC-USDT,2022-10-18,2022-10-18,-1.131,-0.0222,1,range,2022-H2,stop
AAVE-USDT,2022-10-19,2022-10-19,-0.072,-0.0029,2,bear,2022-H2,regime
CRV-USDT,2022-10-19,2022-10-19,-0.337,-0.0171,2,bear,2022-H2,regime
AAVE-USDT,2022-10-19,2022-10-19,-0.149,-0.0062,1,bear,2022-H2,regime
UNI-USDT,2022-10-19,2022-10-19,-0.036,-0.0018,1,bear,2022-H2,regime
ETH-USDT,2022-10-23,2022-10-28,4.770,0.1056,25,range,2022-H2,stop
OP-USDT,2022-10-23,2022-10-30,3.349,0.2505,39,range,2022-H2,stop
AAVE-USDT,2022-10-24,2022-10-25,-1.085,-0.0513,6,range,2022-H2,stop
