pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason
ETC-USDT,2021-04-01,2021-04-03,-0.435,-0.0289,11,bull,,stop
GRT-USDT,2021-04-02,2021-04-03,-1.043,-0.0919,7,bull,,stop
DOT-USDT,2021-04-03,2021-04-04,-0.738,-0.0559,5,bull,,regime
SOL-USDT,2021-04-03,2021-04-04,0.899,0.0587,4,bull,,regime
ALGO-USDT,2021-04-03,2021-04-03,-1.066,-0.0762,1,bull,,stop
ETC-USDT,2021-04-06,2021-04-06,0.240,0.0171,3,bull,,regime
XLM-USDT,2021-04-10,2021-04-16,1.730,0.1482,32,bull,,signal
SOL-USDT,2021-04-12,2021-04-13,-1.039,-0.0872,6,bull,,stop
TRX-USDT,2021-04-12,2021-04-15,0.599,0.0592,17,bull,,signal
DOGE-USDT,2021-04-13,2021-04-17,15.845,1.6484,23,bull,,regime
ETC-USDT,2021-04-15,2021-04-17,7.247,0.6452,13,bull,,regime
UNI-USDT,2021-04-27,2021-04-29,0.262,0.0272,15,bear,,time
AAVE-USDT,2021-04-27,2021-05-04,1.412,0.1494,40,bear,,stop
MANA-USDT,2021-04-28,2021-05-01,0.129,0.0156,13,bear,,signal
NEAR-USDT,2021-04-29,2021-04-30,-0.356,-0.0332,4,bear,,signal
AVAX-USDT,2021-04-30,2021-05-03,0.129,0.0124,15,bear,,time
ETC-USDT,2021-05-01,2021-05-04,2.865,0.2383,16,range,,regime
SOL-USDT,2021-05-01,2021-05-04,-0.605,-0.0534,15,range,,time
DOGE-USDT,2021-05-03,2021-05-04,0.242,0.0220,3,range,,regime
AVAX-USDT,2021-05-03,2021-05-04,-1.025,-0.1028,1,range,,stop
ETH-USDT,2021-05-03,2021-05-04,-0.464,-0.0233,2,range,,regime
ETH-USDT,2021-05-04,2021-05-04,-1.037,-0.0698,0,bear,,stop
XRP-USDT,2021-05-06,2021-05-06,-1.020,-0.1049,3,bear,,stop
ETH-USDT,2021-05-08,2021-05-10,0.667,0.0448,12,bull,,regime
LTC-USDT,2021-05-10,2021-05-10,-1.041,-0.1002,3,bull,,stop
ATOM-USDT,2021-06-02,2021-06-03,-0.194,-0.0200,2,bear,,signal
SOL-USDT,2021-06-03,2021-06-04,-0.505,-0.0487,4,bear,,regime
SOL-USDT,2021-06-05,2021-06-05,-0.302,-0.0363,2,bear,,regime
NEAR-USDT,2021-06-14,2021-06-16,-1.050,-0.0815,10,range,,stop
BTC-USDT,2021-06-14,2021-06-16,-1.044,-0.0598,12,range,,stop
SOL-USDT,2021-06-14,2021-06-17,0.098,0.0088,15,range,,time
GRT-USDT,2021-06-29,2021-06-30,-1.042,-0.0902,4,bear,,stop
FIL-USDT,2021-06-30,2021-06-30,-1.048,-0.0856,1,range,,stop
SOL-USDT,2021-07-01,2021-07-01,-0.912,-0.0905,2,bear,,regime
SAND-USDT,2021-07-01,2021-07-01,0.285,0.0283,1,bear,,regime
AAVE-USDT,2021-07-03,2021-07-05,0.531,0.0483,11,bear,,regime
SAND-USDT,2021-07-03,2021-07-05,0.049,0.0049,10,bear,,regime
UNI-USDT,2021-07-04,2021-07-05,-0.490,-0.0348,6,range,,regime
CRV-USDT,2021-07-04,2021-07-05,-0.669,-0.0517,4,bear,,regime
ATOM-USDT,2021-07-05,2021-07-05,0.032,0.0022,1,bear,,regime
DOGE-USDT,2021-07-21,2021-07-23,-1.038,-0.0916,12,bear,,stop
SAND-USDT,2021-07-22,2021-07-26,2.512,0.3801,24,bear,,stop
XLM-USDT,2021-07-22,2021-07-25,0.336,0.0220,19,bear,,stop
BTC-USDT,2021-07-23,2021-07-30,4.874,0.1863,42,bear,,signal
MANA-USDT,2021-07-23,2021-07-25,0.524,0.0493,8,bear,,signal
NEAR-USDT,2021-07-24,2021-07-27,-0.019,-0.0015,18,range,,signal
ETC-USDT,2021-07-24,2021-07-29,0.132,0.0102,28,range,,signal
DOGE-USDT,2021-07-26,2021-07-26,-1.035,-0.0749,4,range,,stop
AAVE-USDT,2021-07-26,2021-07-26,-1.054,-0.0756,2,range,,stop
XRP-USDT,2021-07-28,2021-07-30,0.234,0.0162,15,bull,,time
SOL-USDT,2021-07-29,2021-07-31,0.326,0.0236,9,bull,,signal
LINK-USDT,2021-07-30,2021-08-02,1.051,0.0799,18,bull,,regime
NEAR-USDT,2021-07-31,2021-08-02,-0.297,-0.0250,15,bull,,time
UNI-USDT,2021-07-31,2021-08-02,0.842,0.0552,16,bull,,regime
ETH-USDT,2021-08-01,2021-08-02,-1.045,-0.0517,1,bull,,stop
UNI-USDT,2021-08-05,2021-08-08,0.511,0.0376,18,bull,,stop
FIL-USDT,2021-08-06,2021-08-08,0.142,0.0077,12,bull,,stop
SOL-USDT,2021-08-06,2021-08-09,-1.044,-0.0737,14,bull,,stop
DOT-USDT,2021-08-06,2021-08-09,-0.543,-0.0412,15,bull,,time
AVAX-USDT,2021-08-07,2021-08-12,0.855,0.0552,32,bull,,stop
ADA-USDT,2021-08-11,2021-08-17,3.664,0.2103,36,bull,,regime
FIL-USDT,2021-08-11,2021-08-14,0.839,0.0575,15,bull,,time
TRX-USDT,2021-08-11,2021-08-16,1.212,0.0628,31,bull,,stop
DOGE-USDT,2021-08-12,2021-08-12,-1.029,-0.1024,2,bull,,stop
GRT-USDT,2021-08-12,2021-08-15,-0.271,-0.0314,15,bull,,time
NEAR-USDT,2021-08-12,2021-08-15,-0.738,-0.0729,15,bull,,time
CRV-USDT,2021-08-13,2021-08-15,-0.636,-0.0524,11,bull,,signal
XLM-USDT,2021-08-15,2021-08-17,-0.726,-0.0627,12,bull,,regime
ETC-USDT,2021-08-15,2021-08-16,-1.034,-0.0963,7,bull,,stop
DOGE-USDT,2021-08-15,2021-08-17,-0.099,-0.0095,7,bull,,regime
SHIB-USDT,2021-08-16,2021-08-17,-0.311,-0.0235,3,bull,,regime
ADA-USDT,2021-08-19,2021-08-24,1.250,0.1088,29,bull,,stop
AVAX-USDT,2021-08-24,2021-08-25,-0.454,-0.0675,4,bull,,regime
NEAR-USDT,2021-08-28,2021-08-29,0.184,0.0202,3,bull,,regime
MANA-USDT,2021-08-29,2021-08-30,0.204,0.0181,2,bull,,regime
ATOM-USDT,2021-08-30,2021-08-31,-0.405,-0.0381,1,bull,,regime
DOT-USDT,2021-09-01,2021-09-04,0.205,0.0174,15,bull,,time
ETH-USDT,2021-09-01,2021-09-05,0.612,0.0294,20,bull,,stop
TRX-USDT,2021-09-02,2021-09-05,-0.009,-0.0004,15,bull,,time
SOL-USDT,2021-09-02,2021-09-05,0.625,0.0652,16,bull,,stop
NEAR-USDT,2021-09-03,2021-09-05,-0.859,-0.0733,9,bull,,signal
LTC-USDT,2021-09-04,2021-09-07,-0.231,-0.0150,17,bull,,stop
FIL-USDT,2021-09-04,2021-09-07,2.480,0.1345,15,bull,,stop
ATOM-USDT,2021-09-05,2021-09-07,-1.051,-0.0780,10,bull,,stop
LINK-USDT,2021-09-06,2021-09-07,-1.041,-0.0702,4,bull,,stop
ALGO-USDT,2021-09-06,2021-09-07,-1.041,-0.0779,5,bull,,stop
SOL-USDT,2021-09-06,2021-09-07,-1.033,-0.0892,4,bull,,stop
CRV-USDT,2021-09-14,2021-09-14,0.310,0.0307,1,bear,,regime
