pair,entry,exit,r,pct,bars_held,regime,fold,exit_reason,took_partial
UNI-USDT,2024-03-25,2024-04-03,-1.132,-0.0661,9,bull,2024-H1,stop,0
BTC-USDT,2024-03-25,2024-04-04,-0.283,-0.0211,10,bull,2024-H1,time,0
ETH-USDT,2024-03-25,2024-04-04,-0.738,-0.0443,10,bull,2024-H1,time,0
AAVE-USDT,2024-04-02,2024-04-03,-2.366,-0.1115,1,bull,2024-H1,stop,0
LTC-USDT,2024-04-12,2024-04-13,-2.446,-0.1320,1,bull,2024-H1,stop,0
AAVE-USDT,2024-06-06,2024-06-08,-1.541,-0.0703,2,bull,2024-H1,stop,0
XRP-USDT,2024-08-20,2024-08-30,-0.852,-0.0641,10,bear,2024-H2,time,0
TRX-USDT,2024-09-08,2024-09-18,-0.386,-0.0135,10,bear,2024-H2,time,0
XRP-USDT,2024-09-29,2024-10-03,-1.953,-0.1260,4,range,2024-H2,stop,0
TRX-USDT,2024-10-08,2024-10-18,1.468,0.0265,10,bear,2024-H2,time,1
NEAR-USDT,2024-10-21,2024-10-26,-2.519,-0.1668,5,range,2024-H2,stop,0
TRX-USDT,2024-10-22,2024-11-01,2.880,0.0442,10,range,2024-H2,time,1
BTC-USDT,2024-12-25,2025-01-04,-0.119,-0.0074,10,bull,2024-H2,time,0
CRV-USDT,2025-01-02,2025-01-09,0.264,0.0203,7,bull,2025-H1,stop,1
TRX-USDT,2025-01-03,2025-01-10,-1.725,-0.0975,7,bull,2025-H1,stop,0
ETC-USDT,2025-01-07,2025-01-08,-1.396,-0.1007,1,bull,2025-H1,stop,0
BTC-USDT,2025-01-15,2025-01-25,1.080,0.0833,10,bull,2025-H1,time,0
LTC-USDT,2025-02-19,2025-02-25,-1.586,-0.1192,6,bull,2025-H1,stop,0
TRX-USDT,2025-04-27,2025-05-07,-0.581,-0.0271,10,range,2025-H1,time,0
BCH-USDT,2025-04-29,2025-05-09,2.315,0.1309,10,range,2025-H1,time,1
SOL-USDT,2025-05-08,2025-05-18,2.499,0.1003,10,range,2025-H1,time,1
XRP-USDT,2025-05-23,2025-05-29,-1.107,-0.0674,6,bull,2025-H1,stop,0
SUI-USDT,2025-05-28,2025-05-31,-2.125,-0.1357,3,bull,2025-H1,stop,0
BCH-USDT,2025-06-01,2025-06-06,-1.512,-0.0761,5,bull,2025-H1,stop,0
AAVE-USDT,2025-06-08,2025-06-18,1.205,0.0830,10,bull,2025-H1,time,1
BTC-USDT,2025-06-08,2025-06-18,-0.245,-0.0120,10,bull,2025-H1,time,0
